Acceptable Delay to Starting Service	The team's goal to start patients in any service within one week of their intake appointment.
MM Appointment Supply	The number of official appointments offered each week. This value replaces the default value estimated from the team's data, with the assumption that any increase in supply comes from reducing appointments offered in other services. (appt/wk)
MM Appointment Supply (median)	The number of appointments available with this team for each service each week. The estimate is calculated using the volume of visits completed each week with the team in each service over one year. (appt/wk)
MM Appointments	The total number of appontments for each service on the calendar. (appts)
MM Appointments to Reschedule	The number of appointments to be rescheduled for each service. This assumes that all missed appointments are eventually rescheduled. (appts)
MM Booking Rate	The booking rate combines demand from both existing patients (based on appointments on the calendar and the scheduled RVI) and new patients' first appointments. (appt/wk)
MM Completing Rate	Appointment completions in each service are based on the team either satisfing all the demand from existing patients (based on appointments on the calendar and the scheduled RVI) or using all the supply allocated to that service (based on the Appointment Supply). If there is more demand than supply, then not all scheduled appointments will be seen in a timely manner, and Actual RVI will increase. This is different from a completed visit, as the appointment is still complete even if the patient no-shows.  (appt/wk)
MM Current Pt Appts / week	The total number of existing patient appointments per week, determined by the total number of patients in each service, the number of patients per appointent, and that service's return visit interval.
MM Delay to Starting Service	The average delay time for the team's patients to start in a service after either an intake appointment or review. It is calculated from the number of patients delayed and the rate at which they start each service.  Delay time is capped at 52 weeks (wks)
MM Demand per Patient per Week	Baseline number of appointments generated per patient per week for a service.
MM Desired Clinical Hours	This is the desired service capacity based on the desired appoinutment completion rate and the standard time per appointment.
MM Desired Completion Rate	To complete recurring appointments in the target return interval, the completion rate must be equal to the appointment backlog divided by the target return time interval.
MM Difference between Actual and Acceptable Start Delays	Ratio of services' acutal start delay to the team's standard for acceptable start delay.
MM Difference between Actual and Standard RVI	Ratio of services' acutal RVI to the team's desired RVI.
MM Effect of Care Delays on Treatment Decisions	
MM Effect of RVI Delays on Treatment Decisions	When care delays increase (as measured by the return to clinic visit intervals (RVI) for a service increasing above the scheduled RVI), the team will be less likely to decide that patient should start that service. This effect only applies to actual RVIs rising above scheduled RVIs: lower than scheduled RVIs do not increase provider decisions to start patients. (pct)
MM Effect of Start Delays on Treatment Decisions	When the wait time to start a service increases above the target wait time, the team will be less likely to decide that patient should start that service. This effect only applies to above-target wait times: lower than expected wait times do not increase provider decisions to start patients. (pct)
MM Effect of Work Pressure on Overtime	When the team has more appointments than they can see in a timely way, they feel "work pressure." One response to increasing work pressure is for the team to work overtime. The more work pressure a team experiences for a specific service, the greater this effect, and the more the overtime the team will work in that specific service. This effect only applies to increasing work pressure: having fewer appointments on the calendar that the team can see in a timely way does not influence providers to work fewer hours. (pct)
MM Effect of Work Pressure on Scheduled Return Visit Interval	When the team has more appointments than they can see in a timely way, they feel "work pressure." One response to increasing work pressure is for the team to see their patients less often. The more work pressure a team experiences for a specific service, the greater this effect, and the longer the scheduled return to clinic interval (RVI) for that specific service. This effect only applies to increasing work pressure: having fewer appointments on the calendar that the team can see in a timely way does not influence providers to see patients more often. (pct)
MM Ending Service Rate	The number of patients finishing a service is a function the number of patients in treatment and their median time engaged in treatment. (pts/wk)
MM Engagement Duration	
MM Engagement Duration (median)	These estimated service durations do not include patients who only come for one visit ("one-n-dones" are a significant portion of all patient visits).
MM Hours for Calculating Total Official Team Hours	Use the Baseline hours available for appointments for calculating the Total Official Team Clinical Hours, unless the users has set a new value for a service.
MM Initial Patients	The initial number of patients seen by the team is determined by the initial appointment completion rate and the demand per patient. Note that the equation type is INITIAL, which ensures that the initial patient load remains constant even if the appointment completion rate varies. By setting this initial patient load, we ensure that appointments are booked at exactly the rate the team can handle, given the team size and standard values for time per appoitment, return visit interval, missed opportunities, and % team time allocated to each service.
MM Maximum Completion Rate	The maximum completion rate is determined by the appointment backlog and minimum time between patient appointments.
MM Maximum Start Rate Service	The maximum new patient start rate is determined by the new patient waiting list and minimum time to schedule patient appointments.
MM Official Hours Available for Service	The hours available for patient appointments in each service depends on the baseline hours offered and the effect of burnout on those hours. Official hours are prevented from going below zero.
MM Patient Start Rate	Defined to maintain equilibrium in the base case (i.e., if no switches are active). The team can only start as many patients as they have the service capacity to see.
MM Patients in Service	The total number of patients in each service. (pts)
MM Patients per Appointment	Usually 1 patient per appointment, except for group clinics, where the ideal number is 8 patients per appointment, but is often as low as 4.
MM Patients w AUD	The numbers of patients in each service who have AUD as a primary diagnosis.
MM Patients w DEP	The numbers of patients in each service who have Depression as a primary diagnosis.
MM Patients w Other Needs	The numbers of patients in each service who have Other Needs as a Dev Testing primary diagnosis.
MM Patients w OUD	The numbers of patients in each service who have OUD as a primary diagnosis.
MM Patients w PTSD	The numbers of patients in each service who have PTSD as a primary diagnosis.
MM Patients Waiting to Start a Service	The total number of patients waiting to start the service(s) recommended by their provider after a review or an intake evaluation appointment. (pts)
MM Potential Completion Rate	The potential completion rate depends on the net available clinical hours and the time per apppointment.
MM Rescheduling Rate	The rescheduling rate for each service depends on the total number of appointments to reschedule and the average time it takes to reschedule them. (appts/wk)
MM Return Visit Interval (median)	The median return-to-clinic visit interval for visits in each service with this team, calculated from the number of visits per patient over their entire engagement time. (wks)
MM Return Visit Interval (RVI)	The scheduled average return to clinic visit interval for each service, regardless of whether or not the team has enough supply for the patient demand or the effect on new patient starts. This value replaces the base case value, which is estimated from the team's data. (wks)
MM RVI	The team's goal to see each patient in each service once in every x week (default RVIs are based on the team's data). The default RVI can be replaced by a user-generated value between 1 and 16 weeks. The "RVI" for Intake is always 1 week, which ensures that patients only have one intake appointment before completing Intake.
MM RVI used when Completing	Appointments are completed based on the RVI in use at the time they were booked. Any change in the RVI does not affect appointments already booked, only appointments being booked (i.e., appointments are not cancelled and rescheduled when RVI changes).
MM Scheduled Return Visit Interval	The return-to-clinic visit interval (RVI) used when scheduling appointmnents for existing patients in each service. It is either the same as the RVI from the team's data, or longer, depending on how the team chooses to react to increasing work pressure. (wks)
MM Service Proportions	The service percentage used by the team.
MM Service Proportions Balanced Across Team Variables	The percentage of patients who complete an intake who start another service, determined by the available capacity to treat those patients. If any of these percentages is >1, then there is enough supply for patients to enroll in a service multiple times simultaneously.
MM Service Proportions from Team Data	The percent of patients who have appointments in each service, based on the team's data. Specifically, based on a count of all unique patients in the cohort with >1 visit (thus, excluding"1-n-done" patients) in a service (as identified by CPT code set) over the total patient cohort. These percentages will sum to >100%, as many patients use multiple services concurrently.
MM Starting a Service Rate	The number of patients who start each service each week. It is based on the number of appointments remaining each week, after all exisiting patients are seen in a timely manner. The team either satisfies all the demand from existing patients (based on appointments on the calendar and the scheduled RVI) or uses all the supply (based on the Appointment Supply), leaving no appointments available for new patients. (pts/wk)
MM Starting a Service w AUD	The number of patients per week starting AUD treatment after developing an individual treatment plan in an intake appointment.
MM Starting a Service w DEP	The number of patients per week starting Depression treatment after developing an individual treatment plan in an intake appointment.
MM Starting a Service w Other Needs	The number of patients per week starting Other Needs treatment after developing an individual treatment plan in an intake appointment.
MM Starting a Service w OUD	The number of patients per week starting OUD treatment after developing an individual treatment plan in an intake appointment.
MM Starting a Service w PTSD	The number of patients per week starting PTSD treatment after developing an individual treatment plan in an intake appointment.
MM Time per Appointment	The appointment length for a service;aka, the productivity.
MM Treatment Decision Rate	The number of patients who are recommended to start in each service each week, after either completing an intake evaluation appointment or a review. Providers can decide to start patients on multiple services simultaneously. (pts/wk)
MM True Missed Appointment %	The proportion of appointments for each service with this team that no-showed or were cancelled after the appointment was supposed to have happened. (pct)
MM True Missed Appointment Rate	The number of appointments that must be re-scheduled, as either the clinician or the patient missed the appointment, calculated from the team's data. (appts/wk)
MM User-defined Engagement Duration	The percentage of patients who are recommended to start each service after completing either an intake evaluation or review. These replace the base case values, which are estimated from team data on the appointment supply, Return-to-clinic Visit Interval (RVI), missed appointment percentage, and median engagement (i.e., the available capacity to treat patients in a timely manner) in each service. These percentages can sum to >1, as providers can decide to start a patient in multiple services. (pct)
MM User-defined Service Proportions from Team Data	The percentage of patients who are recommended to start each service after completing either an intake evaluation or review. These replace the base case values, which are estimated directly from team data on new service start rates for each service in the team (i.e., haven't had this service in the team in the last six months). These percentages can sum to >1, as providers can decided to start a patient in multiple services. (pct)
MM User-defined True Missed Appointment %	The percent of appointments that must be re-scheduled, as either the clinician or the patient missed the appointment. This replaces the base case value, which is estimated from team data. (appts/wk)
MM Work Pressure	When the team has more appointments than they can see in a timely way, they feel "work pressure." It is measured by the ratio of the hours needed for each service (based on the appointments on the calendar and the return to clinic interval) against the actual hours available for each service. When the team works the same hours as their patients need (so each patient can be seen at the appropriate return to clinic interval), then the ratio is 1. If a team has more appointments than they can see given the RVI, then work pressure will rise above 1. (pct)
New Patient Start Rate (mean)	The average number of patients starting a new service with the team per week, calculated from a cohort of patients seen over one year in this team who have never had an visit in that service with this team before. (pts/wk)
Psych % of Hours per Service	The ratio of hours used for any one service compared to the total team hours.
Psych % w AUD	The fraction of patients who have AUD as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
Psych % w DEP	The fraction of patients who have Depression as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
Psych % w Other Needs	The fraction of patients who have Other Needs as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
Psych % w OUD	The fraction of patients who have OUD as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
Psych % w PTSD	The fraction of patients who have PTSD as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
Psych Actual Engagement Time	The actual time patients spend in a service depends on both the median time estimated from the team's visit data and the effect of provider fatigue on patient engagement.
Psych Actual Hours Available for Service	The number of hours the team has allocated to providing patient-facing care in each service, including both bookable appointments on the calendar and unofficial overbooking/overtime hours. (hrs/wk)
Psych Actual Return Visit Interval	The actual average return-to-clinic visit interval that patients experience. This is either the same as the RVI used when appointments are scheduled, or potentially longer, if the team reacts to work pressure by extending existing patients' RVI. Longer than desired RVIs do not cause patients or providers to cancel appointments. In theory, the actual RVI could be pushed to more than one year, but we've capped it at 52 weeks. (wks)
Psych Actual Service Capacity	The effective total hours of clinical time available, based on the percentage of the total team hours allocated to each service, and the missed appointment percentage for each service. This assumes that all missed appointments are eventually rescheduled.
Psych Actual True Missed Appointment %	The percent of appointments missed and rescheduled is affected by both the baseline rate and the effect of fatigue due to accumulated long hours. It is constrained from going below zero. The baseline rate can be replaced by a user-generated value between zero and 100%.
Psych Appointment Rate for Service Capacity	The appointment completion rate is the rate at which appointments would be completed in each service by the current team at the standard allocation of hours and hours lost to appointment re-scheduling for each service. Used to initialize the model, so the referral, start, and end rates for patients in each service is in equilibrium.
Psych Appointment Supply	The number of official appointments offered each week. This value replaces the default value estimated from the team's data, with the assumption that any increase in supply comes from reducing appointments offered in other services. (appt/wk)
Psych Appointment Supply (median)	The number of appointments available with this team for each service each week. The estimate is calculated using the volume of visits completed each week with the team in each service over one year. (appt/wk)
Psych Appointments	The total number of appontments for each service on the calendar. (appts)
Psych Appointments to Reschedule	The number of appointments to be rescheduled for each service. This assumes that all missed appointments are eventually rescheduled. (appts)
Psych Booking Rate	The booking rate combines demand from both existing patients (based on appointments on the calendar and the scheduled RVI) and new patients' first appointments. (appt/wk)
Psych Completing Rate	Appointment completions in each service are based on the team either satisfing all the demand from existing patients (based on appointments on the calendar and the scheduled RVI) or using all the supply allocated to that service (based on the Appointment Supply). If there is more demand than supply, then not all scheduled appointments will be seen in a timely manner, and Actual RVI will increase. This is different from a completed visit, as the appointment is still complete even if the patient no-shows.  (appt/wk)
Psych Current Pt Appts / week	The total number of existing patient appointments per week, determined by the total number of patients in each service, the number of patients per appointent, and that service's return visit interval.
Psych Delay to Starting Service	The average delay time for the team's patients to start in a service after either an intake appointment or review. It is calculated from the number of patients delayed and the rate at which they start each service.  Delay time is capped at 52 weeks (wks)
Psych Demand per Patient per Week	Baseline number of appointments generated per patient per week for a service.
Psych Desired Clinical Hours	This is the desired service capacity based on the desired appoinutment completion rate and the standard time per appointment.
Psych Desired Completion Rate	To complete recurring appointments in the target return interval, the completion rate must be equal to the appointment backlog divided by the target return time interval.
Psych Difference between Actual and Acceptable Start Delays	Ratio of services' acutal start delay to the team's standard for acceptable start delay.
Psych Difference between Actual and Standard RVI	Ratio of services' acutal RVI to the team's desired RVI.
Psych Effect of Care Delays on Treatment Decisions	
Psych Effect of RVI Delays on Treatment Decisions	When care delays increase (as measured by the return to clinic visit intervals (RVI) for a service increasing above the scheduled RVI), the team will be less likely to decide that patient should start that service. This effect only applies to actual RVIs rising above scheduled RVIs: lower than scheduled RVIs do not increase provider decisions to start patients. (pct)
Psych Effect of Start Delays on Treatment Decisions	When the wait time to start a service increases above the target wait time, the team will be less likely to decide that patient should start that service. This effect only applies to above-target wait times: lower than expected wait times do not increase provider decisions to start patients. (pct)
Psych Effect of Work Pressure on Overtime	When the team has more appointments than they can see in a timely way, they feel "work pressure." One response to increasing work pressure is for the team to work overtime. The more work pressure a team experiences for a specific service, the greater this effect, and the more the overtime the team will work in that specific service. This effect only applies to increasing work pressure: having fewer appointments on the calendar that the team can see in a timely way does not influence providers to work fewer hours. (pct)
Psych Effect of Work Pressure on Scheduled Return Visit Interval	When the team has more appointments than they can see in a timely way, they feel "work pressure." One response to increasing work pressure is for the team to see their patients less often. The more work pressure a team experiences for a specific service, the greater this effect, and the longer the scheduled return to clinic interval (RVI) for that specific service. This effect only applies to increasing work pressure: having fewer appointments on the calendar that the team can see in a timely way does not influence providers to see patients more often. (pct)
Psych Ending Service Rate	The number of patients finishing a service is a function the number of patients in treatment and their median time engaged in treatment. (pts/wk)
Psych Engagement Duration	
Psych Engagement Duration (median)	These estimated service durations do not include patients who only come for one visit ("one-n-dones" are a significant portion of all patient visits).
Psych Hours for Calculating Total Official Team Hours	Use the Baseline hours available for appointments for calculating the Total Official Team Clinical Hours, unless the users has set a new value for a service.
Psych Initial Patients	The initial number of patients seen by the team is determined by the initial appointment completion rate and the demand per patient. Note that the equation type is INITIAL, which ensures that the initial patient load remains constant even if the appointment completion rate varies. By setting this initial patient load, we ensure that appointments are booked at exactly the rate the team can handle, given the team size and standard values for time per appoitment, return visit interval, missed opportunities, and % team time allocated to each service.
Psych Maximum Completion Rate	The maximum completion rate is determined by the appointment backlog and minimum time between patient appointments.
Psych Maximum Start Rate Service	The maximum new patient start rate is determined by the new patient waiting list and minimum time to schedule patient appointments.
Psych Official Hours Available for Service	The hours available for patient appointments in each service depends on the baseline hours offered and the effect of burnout on those hours. Official hours are prevented from going below zero.
Psych Patient Start Rate	Defined to maintain equilibrium in the base case (i.e., if no switches are active). The team can only start as many patients as they have the service capacity to see.
Psych Patients in Service	The total number of patients in each service. (pts)
Psych Patients per Appointment	Usually 1 patient per appointment, except for group clinics, where the ideal number is 8 patients per appointment, but is often as low as 4.
Psych Patients w AUD	The numbers of patients in each service who have AUD as a primary diagnosis.
Psych Patients w DEP	The numbers of patients in each service who have Depression as a primary diagnosis.
Psych Patients w Other Needs	The numbers of patients in each service who have Other Needs as a primary diagnosis.
Psych Patients w OUD	The numbers of patients in each service who have OUD as a primary diagnosis.
Psych Patients w PTSD	The numbers of patients in each service who have PTSD as a primary diagnosis.
Psych Patients Waiting to Start a Service	The total number of patients waiting to start the service(s) recommended by their provider after a review or an intake evaluation appointment. (pts)
Psych Potential Completion Rate	The potential completion rate depends on the net available clinical hours and the time per apppointment.
Psych Rescheduling Rate	The rescheduling rate for each service depends on the total number of appointments to reschedule and the average time it takes to reschedule them. (appts/wk)
Psych Return Visit Interval (median)	The median return-to-clinic visit interval for visits in each service with this team, calculated from the number of visits per patient over their entire engagement time. (wks)
Psych Return Visit Interval (RVI)	The scheduled average return to clinic visit interval for each service, regardless of whether or not the team has enough supply for the patient demand or the effect on new patient starts. This value replaces the base case value, which is estimated from the team's data. (wks)
Psych RVI	The team's goal to see each patient in each service once in every x week (default RVIs are based on the team's data). The default RVI can be replaced by a user-generated value between 1 and 16 weeks. The "RVI" for Intake is always 1 week, which ensures that patients only have one intake appointment before completing Intake.
Psych RVI used when Completing	Appointments are completed based on the RVI in use at the time they were booked. Any change in the RVI does not affect appointments already booked, only appointments being booked (i.e., appointments are not cancelled and rescheduled when RVI changes).
Psych Scheduled Return Visit Interval	The return-to-clinic visit interval (RVI) used when scheduling appointmnents for existing patients in each service. It is either the same as the RVI from the team's data, or longer, depending on how the team chooses to react to increasing work pressure. (wks)
Psych Service Proportions	The service percentage used by the team.
Psych Service Proportions Balanced Across Team Variables	The percentage of patients who complete an intake who start another service, determined by the available capacity to treat those patients. If any of these percentages is >1, then there is enough supply for patients to enroll in a service multiple times simultaneously.
Psych Service Proportions from Team Data	The proportion of patients who start in each service with this team. The percentages sum to more than one, because patients may engage in multiple services concurrently. (pct)
Psych Starting a Service Rate	The number of patients who start each service each week. It is based on the number of appointments remaining each week, after all exisiting patients are seen in a timely manner. The team either satisfies all the demand from existing patients (based on appointments on the calendar and the scheduled RVI) or uses all the supply (based on the Appointment Supply), leaving no appointments available for new patients. (pts/wk)
Psych Starting a Service w AUD	The number of patients per week starting AUD treatment after developing an individual treatment plan in an intake appointment.
Psych Starting a Service w DEP	The number of patients per week starting Depression treatment after developing an individual treatment plan in an intake appointment.
Psych Starting a Service w Other Needs	The number of patients per week starting Other Needs treatment after developing an individual treatment plan in an intake appointment.
Psych Starting a Service w OUD	The number of patients per week starting OUD treatment after developing an individual treatment plan in an intake appointment.
Psych Starting a Service w PTSD	The number of patients per week starting PTSD treatment after developing an individual treatment plan in an intake appointment.
Psych Time per Appointment	The appointment length for a service;aka, the productivity.
Psych Treatment Decision Rate	The number of patients who are recommended to start in each service each week, after either completing an intake evaluation appointment or a review. Providers can decide to start patients on multiple services simultaneously. (pts/wk)
Psych True Missed Appointment %	The proportion of appointments for each service with this team that no-showed or were cancelled after the appointment was supposed to have happened. (pct)
Psych True Missed Appointment Rate	The number of appointments that must be re-scheduled, as either the clinician or the patient missed the appointment, calculated from the team's data. (appts/wk)
Psych User-defined Engagement Duration	The percentage of patients who are recommended to start each service after completing either an intake evaluation or review. These replace the base case values, which are estimated from team data on the appointment supply, Return-to-clinic Visit Interval (RVI), missed appointment percentage, and median engagement (i.e., the available capacity to treat patients in a timely manner) in each service. These percentages can sum to >1, as providers can decide to start a patient in multiple services. (pct)
Psych User-defined Service Proportions from Team Data	The percentage of patients who are recommended to start each service after completing either an intake evaluation or review. These replace the base case values, which are estimated directly from team data on new service start rates for each service in the team (i.e., haven't had this service in the team in the last six months). These percentages can sum to >1, as providers can decided to start a patient in multiple services. (pct)
Psych User-defined True Missed Appointment %	The percent of appointments that must be re-scheduled, as either the clinician or the patient missed the appointment. This replaces the base case value, which is estimated from team data. (appts/wk)
Psych Work Pressure	When the team has more appointments than they can see in a timely way, they feel "work pressure." It is measured by the ratio of the hours needed for each service (based on the appointments on the calendar and the return to clinic interval) against the actual hours available for each service. When the team works the same hours as their patients need (so each patient can be seen at the appropriate return to clinic interval), then the ratio is 1. If a team has more appointments than they can see given the RVI, then work pressure will rise above 1. (pct)
Review Rate	
SAVEPER	The frequency with which output is stored.
Sensitivity of Overtime to Work Pressure	This controls the magnitude of the effect work pressure has on overtime, where an increase in appointment backlog causes the team to work more "unofficial" hours to increase the completion rate to mitigate that increase. A value of "zero" implies that the team will not use overtime or overbook appointments for any amount of work pressure. A value of "1" implies that there is a direct relationship between work pressure and the amount of overtime used (e.g., doubling the work pressure will also double the hours worked per week). For the same situation, a value of "0.5" would only increase the hours worked to 41% over the original value, and a value of 1.5 would increase the hours worked to 182% over the original value.
Sensitivity of Patient's Engagement Time to Provider Fatigue	This controls the magnitude of the effect provider fatigue has on patients' duration in each service, where the total time in a service drops as fatigue increases. A value of "zero" implies that provider fatigue will have no effect on patient satisfaction. A value of "1" implies the assumption that doubling provider fatigue (e.g., short-term increases in work hours) will reduce the patients percieved quality of service, and thus patients' willingness to remain in that service by half. For the same situation, a value of "0.5" would reduce the average duration in that service to 71% of the original time in service, and a value of 1.5 would reduce the duration to only 35% of the original duration.
Sensitivity of Scheduled Return Visit Interval to Work Pressure	This controls the magnitude of the effect of work pressure has on the return to clinic interval (RVI), where an increase in appointment backlog causes the team to extend the scheduled RVI for current patients. A value of "zero" implies that the team will not delay existing patients' care (i.e., extend patients' RVI) for any amount of work pressure. A value of "1" implies that there is a direct relationship between work pressure and RVI (e.g., doubling the work pressure will also double the RVI). For the same situation, a value of "0.5" would only increase the RVI by 41% over its original value, and a value of 1.5 would increase the RVI by 182% over the original value.
Sensitivity of Staff Burnout Due to Long-Term Overtime	This controls the magnitude of the effect changes in overtime has on team burnout and quits. A value of "zero" implies that there is no relationship between overtime and burnout and quits. A value of "1" implies the assumption that doubling the hours worked over the official hours will eventually cause enough quits to cut the official hours offered in half. For the same situation, a value of "0.5" would eventually reduce the official team hours to 71% of its original value, and a value of 1.5 would reduce the official hours to 35% of the original.
Sensitivity of Staff Missed Appointments Due to Short-Term Overtime	This controls the magnitude of the effect changes in overtime have on time for non-patient-facing care tasks and missed appointments. A value of "zero" implies that there is no relationship between overtime and missed appointments. A value below 1 indicates that providers are not sensitive to small changes in overtime and non-patient-facing task time; a value greater than 1 indicates that providers are very sensitive to small changes. Example: if a team is putting in 20% more hours per week than their official supply, then an value of "1" would indicate that the ratio of missed appointments to all appointments would also be 20% higher than before. A value of "0.5" would cause that same 20% increase in hours worked to have less of an effect (causing only a 9.5% increase in the missed appointment percentage). A value of "2" would cause that same 20% increase to have a greater effect ( raising the missed appointment percentage by 44%).
Sensitivity of Treatment Decisions to Existing Patient Care Delays	This controls the magnitude of the effect existing patient care delays have on the team's treatment decisions, where decisions to start patients in a service drop as actual return to clinic visit interval increases (relative to target RVI). A value of "zero" implies that that no amount of care delay will influence the team's treatment decisions. A value of "1" implies that doubling the time between appointments for existing patients (e.g., delaying their care) will reduce the decisions to start in that service by half. For the same situation, a value of "0.5" would reduce the decisions to start in that service to 71% of the original rate, and a value of "1.5" would reduce the decisions to start to only 35% of the original rate.
Short-Term Overtime	The ratio of the team's total excess hours worked to their total official hours, averaged over the past 3 weeks. When the team is working zero overtime, this ratio will be zero. If the team is working as much overtime as they have official time, then this ratio will be 100%. (pct)
TIME STEP	The time step for the simulation.
Time to Change Scheduled RVI	Takes 2 weeks to recognize work pressure and change scheduled return visit interval.
Time to Change Staff Hours	Takes 4 weeks to recognize work pressure and change staff hours.
Time to Perceive Internal Delays	Time to notice and respond to differences between desired and actual Return Visit Interval and care delays within a team. Set to 8 weeks, i.e., it takes two monthly staff meeting updates to affect behavior.
Time to Reschedule	Average time to contact the patient and negotiate a make-up appointment.
Total Actual Hours Available for Service	The clinician time available for a service depends on the total clinical hours available, the relative increase in hours due to overtime, and the % allocated to a service.
Total Appt. Supply	The sum of all clinical hours allocated to patient appointments. It must be less than 40 hrs/week/clinician, due to administrative duties, sick leave, annual leave, training, etc.
Total Patients in all Services	
Total Patients w AUD	The total number of patients across all services who have AUD as a primary diagnosis.
Total Patients w DEP	The total number of patients across all services who have Depression as a primary diagnosis.
Total Patients w Other Needs	The total number of patients across all services who have Other Needs as a primary diagnosis.
Total Patients w OUD	The total number of patients across all services who have OUD as a primary diagnosis.
Total Patients w PTSD	The total number of patients across all services who have PTSD as a primary diagnosis.
Total Starting any Service	
Total Starting any Service w AUD	The total number of patients starting across all services who have AUD as a primary diagnosis.
Total Starting any Service w DEP	The total number of patients starting across all services who have Depression as a primary diagnosis.
Total Starting any Service w Other Needs	The total number of patients starting across all services who have Other Needs as a primary diagnosis.
Total Starting any Service w OUD	The total number of patients starting across all services who have OUD as a primary diagnosis.
Total Starting any Service w PTSD	The total number of patients starting across all services who have PTSD as a primary diagnosis.
Use Team Data on New Pt Referrals	"Balanced" mode continually adjusts the service proportions to both minimize new patient wait time and maximize the likelihood that an existing patient will receive care at the desired Return-to-Clinic Visit Interval, i.e., the team in the model will always decide to start just the right number of patients in each service, given the team's quality goals, supply, and patients' characteristics. In this mode, the service proportions automatically re-balance to accommodate any experiment. The base-case values for these parameters may differ from the estimates calculated from team data.
User-defined Review Rate	The number of patients whose care plan is reviewed and start a new service each week. This replaces the base case value, which is estimated from team data on service start rates and CPT-coded intake evaluation completed visits. (pts/wk)
